TestDescription,Value,Component
504090_AI_P0 Pull up FB,3.828,IC101
504090_AI_P0 Pull up FB,3.940,IC101
504090_AI_P0 Pull up FB,3.940,IC101
503020_LIN Voltage,3.647,D401
502020_PCHK X400_3 LED_CATHODE,36.34,D401
509050_BST CHK Phase 3,36,R411
509050_BST CHK Phase 3,36,R411
509050_BST CHK Phase 3,35,R411
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,10.27,C431
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,29.12,C431
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C431
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C431
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C431
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C431
501050_[A-01][A-07] LIN Voltage,.0126,C431
501060_Read SW Version,21474,C431
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,22.97,C431
55790 AI_TI_ISHUNT ADC High,265,C100
55790 AI_TI_ISHUNT ADC High,353,C100
55790 AI_TI_ISHUNT ADC High,175,C100
55790 AI_TI_ISHUNT ADC High,187,C100
55900 TI Max Current Cathode 1,3.070,C100
shorts,0,IC601
4_Contact_MCU,0,IC601
503010_PS P0 Variant Detect Combo,0,R216
503010_PS P0 Variant Detect Combo,0,R216
503010_PS P0 Variant Detect Combo,0,R216
503010_PS P0 Variant Detect Combo,0,R216
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C1003
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
530030_CAL CH1 Voltage High FB,0,R1003
530040_CAL CH1 Voltage Meas Vf High,.3199,R1003
530120_CAL CH1 Voltage Low FB,0,R1003
530130_CAL CH1 Voltage Meas Vf Low,.2702,R1003
530030_CAL CH1 Voltage High FB,0,R1003
530040_CAL CH1 Voltage Meas Vf High,.3030,R1003
530120_CAL CH1 Voltage Low FB,0,R1003
530130_CAL CH1 Voltage Meas Vf Low,.2891,R1003
530030_CAL CH1 Voltage High FB,0,R1003
530040_CAL CH1 Voltage Meas Vf High,.3884,R1003
530120_CAL CH1 Voltage Low FB,0,R1003
530130_CAL CH1 Voltage Meas Vf Low,.2289,R1003
505020_OC Voltage TI_OUTAGE ON,.0033,D421
505060_OC Read ADC TI_FAULT,0,D421
505020_OC Voltage TI_OUTAGE ON,.0034,D421
505060_OC Read ADC TI_FAULT,0,D421
505112_OC Meas Voltage FRONT FOG CONTROL,1.461,IC101
505113_OC Meas Voltage SM CONTROL,1.462,IC101
505114_OC Meas Voltage LINCOLN STAR CONTROL,1.461,IC101
505144_OC Read ADC SM CONTROL,68,IC101
505146_OC Read ADC FRONT FOG CONTROL,68,IC101
505148_OC Read ADC LINCOLN STAR CONTROL,68,IC101
505250_OC PWM FRONT FOG CONTROL Meas Vrms,1.107,IC101
505300_OC PWM SM CONTROL Meas Vrms,1.134,IC101
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,1.134,IC101
509010_BST CHK Phase 1,0,IC101
509030_BST CHK Phase 2,0,IC101
509050_BST CHK Phase 3,0,IC101
509070_BST CHK Phase 4,0,IC101
530030_CAL CH1 Voltage High FB,0,IC101
530040_CAL CH1 Voltage Meas Vf High,.0512,IC101
530050_CAL CH2 Voltage High FB,0,IC101
530060_CAL CH2 Voltage Meas Vf High,.0567,IC101
530070_CAL CH3 Voltage High FB,0,IC101
530080_CAL CH3 Voltage Meas Vf High,.0527,IC101
530090_CAL CH4 Voltage High FB,0,IC101
530100_CAL CH4 Voltage Meas Vf High,.0524,IC101
530120_CAL CH1 Voltage Low FB,0,IC101
530130_CAL CH1 Voltage Meas Vf Low,.0512,IC101
530140_CAL CH2 Voltage Low FB,0,IC101
530150_CAL CH2 Voltage Meas Vf Low,.0567,IC101
530160_CAL CH3 Voltage Low FB,0,IC101
530170_CAL CH3 Voltage Meas Vf Low,.0528,IC101
530180_CAL CH4 Voltage Low FB,0,IC101
530190_CAL CH4 Voltage Meas Vf Low,.0524,IC101
505112_OC Meas Voltage FRONT FOG CONTROL,1.460,IC101
505113_OC Meas Voltage SM CONTROL,1.461,IC101
505114_OC Meas Voltage LINCOLN STAR CONTROL,1.460,IC101
505144_OC Read ADC SM CONTROL,69,IC101
505146_OC Read ADC FRONT FOG CONTROL,68,IC101
505148_OC Read ADC LINCOLN STAR CONTROL,68,IC101
505250_OC PWM FRONT FOG CONTROL Meas Vrms,1.078,IC101
505300_OC PWM SM CONTROL Meas Vrms,1.157,IC101
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,1.157,IC101
509010_BST CHK Phase 1,0,IC101
509030_BST CHK Phase 2,0,IC101
509050_BST CHK Phase 3,0,IC101
509070_BST CHK Phase 4,0,IC101
530030_CAL CH1 Voltage High FB,0,IC101
530040_CAL CH1 Voltage Meas Vf High,.0507,IC101
530050_CAL CH2 Voltage High FB,0,IC101
530060_CAL CH2 Voltage Meas Vf High,.0562,IC101
530070_CAL CH3 Voltage High FB,0,IC101
530080_CAL CH3 Voltage Meas Vf High,.0523,IC101
530090_CAL CH4 Voltage High FB,0,IC101
530100_CAL CH4 Voltage Meas Vf High,.0520,IC101
530120_CAL CH1 Voltage Low FB,0,IC101
530130_CAL CH1 Voltage Meas Vf Low,.0507,IC101
530140_CAL CH2 Voltage Low FB,0,IC101
530150_CAL CH2 Voltage Meas Vf Low,.0563,IC101
530160_CAL CH3 Voltage Low FB,0,IC101
530170_CAL CH3 Voltage Meas Vf Low,.0523,IC101
530180_CAL CH4 Voltage Low FB,0,IC101
530190_CAL CH4 Voltage Meas Vf Low,.0521,IC101
505112_OC Meas Voltage FRONT FOG CONTROL,1.462,IC101
505113_OC Meas Voltage SM CONTROL,1.462,IC101
505114_OC Meas Voltage LINCOLN STAR CONTROL,1.462,IC101
505144_OC Read ADC SM CONTROL,69,IC101
505146_OC Read ADC FRONT FOG CONTROL,68,IC101
505148_OC Read ADC LINCOLN STAR CONTROL,68,IC101
505250_OC PWM FRONT FOG CONTROL Meas Vrms,1.107,IC101
505300_OC PWM SM CONTROL Meas Vrms,1.133,IC101
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,1.133,IC101
509010_BST CHK Phase 1,0,IC101
509030_BST CHK Phase 2,0,IC101
509050_BST CHK Phase 3,0,IC101
509070_BST CHK Phase 4,0,IC101
530030_CAL CH1 Voltage High FB,0,IC101
530040_CAL CH1 Voltage Meas Vf High,.0530,IC101
530050_CAL CH2 Voltage High FB,0,IC101
530060_CAL CH2 Voltage Meas Vf High,.0586,IC101
530070_CAL CH3 Voltage High FB,0,IC101
530080_CAL CH3 Voltage Meas Vf High,.0546,IC101
530090_CAL CH4 Voltage High FB,0,IC101
530100_CAL CH4 Voltage Meas Vf High,.0544,IC101
530120_CAL CH1 Voltage Low FB,0,IC101
530130_CAL CH1 Voltage Meas Vf Low,.0530,IC101
530140_CAL CH2 Voltage Low FB,0,IC101
530150_CAL CH2 Voltage Meas Vf Low,.0586,IC101
530160_CAL CH3 Voltage Low FB,0,IC101
530170_CAL CH3 Voltage Meas Vf Low,.0546,IC101
530180_CAL CH4 Voltage Low FB,0,IC101
530190_CAL CH4 Voltage Meas Vf Low,.0543,IC101
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,D101
502070_EOL Download TBX,21474,D101
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,D101
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,D101
55610 TI String1 Anode Voltage,44.62,T116
55610 TI String1 Anode Voltage,44.62,T116
55610 TI String1 Anode Voltage,44.59,T116
53090 SM NTC ADC High,207,C1418
53090 SM NTC ADC High,206,C1418
53090 SM NTC ADC High,207,C1418
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,R1041
506160_[C-02] LSD P0 LB Check Current,.0034,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,R1041
506160_[C-02] LSD P0 LB Check Current,.0025,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,R1041
506160_[C-02] LSD P0 LB Check Current,.0039,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,R1041
506160_[C-02] LSD P0 LB Check Current,.0034,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,R1041
506160_[C-02] LSD P0 LB Check Current,.0025,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,R1041
506160_[C-02] LSD P0 LB Check Current,.0039,R1041
501050_[A-01][A-07] LIN Voltage,.1042,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
501050_[A-01][A-07] LIN Voltage,.1042,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
505040_[A-01][C-14] OC Voltage FANCTRL,.0056,R1216
505080_[C-14] OC Read ADC FANCTRL,218,R1216
500080_PCHK ALUMINUM PLATE,3.250,R1216
505040_[A-01][C-14] OC Voltage FANCTRL,.0022,R1216
505080_[C-14] OC Read ADC FANCTRL,217,R1216
505040_[A-01][C-14] OC Voltage FANCTRL,.0058,R1216
505080_[C-14] OC Read ADC FANCTRL,218,R1216
505040_[A-01][C-14] OC Voltage FANCTRL,.0056,R1216
505080_[C-14] OC Read ADC FANCTRL,218,R1216
500080_PCHK ALUMINUM PLATE,3.250,R1216
505040_[A-01][C-14] OC Voltage FANCTRL,.0022,R1216
505080_[C-14] OC Read ADC FANCTRL,217,R1216
505040_[A-01][C-14] OC Voltage FANCTRL,.0058,R1216
505080_[C-14] OC Read ADC FANCTRL,218,R1216
509010_BST CHK Phase 1,0,R1041
509010_BST CHK Phase 1,0,R1041
509010_BST CHK Phase 1,0,R1041
55790 AI_TI_ISHUNT ADC High,789,C101
55912 TI SRET1 ADC High,225,C101
55914 TI SRET2 ADC High,221,C101
55912 TI SRET1 ADC High,224,C101
507030 HSD Read ADC Fan Sense,12,IC200
507030 HSD Read ADC Fan Sense,138,IC200
507030 HSD Read ADC Fan Sense,14,IC200
507030 HSD Read ADC Fan Sense,15,IC200
507030 HSD Read ADC Fan Sense,15,IC200
507030 HSD Read ADC Fan Sense,12,IC200
53130 TI BIN ADC High,228,D500
53130 TI BIN ADC High,213,D500
53130 TI BIN ADC High,372,D500
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C960
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C960
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C960
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C960
501050_[A-01][A-07] LIN Voltage,.0428,C960
501060_Read SW Version,21474,C960
521610_Leakage 8A ANODESBL2/3+SLB4/5,2108.,C960
521620_Leakage 9A ANODE CHANNEL 4,2107.,C960
521630_Leakage 20C ANODE CHANNEL 2,2108.,C960
521640_Leakage 22C ANODE CHANNEL 1,2108.,C960
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0002,C960
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C960
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C960
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C960
501050_[A-01][A-07] LIN Voltage,.0158,C960
501060_Read SW Version,21474,C960
