TestDescription,Unit,Value,Component
504090_AI_P0 Pull up FB, V,3.828,IC101
504090_AI_P0 Pull up FB, V,3.940,IC101
504090_AI_P0 Pull up FB, V,3.940,IC101
503020_LIN Voltage, V,3.647,D401
502020_PCHK X400_3 LED_CATHODE, mA,36.34,D401
509050_BST CHK Phase 3, Dec,36,R411
509050_BST CHK Phase 3, Dec,36,R411
509050_BST CHK Phase 3, Dec,35,R411
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3, mA,10.27,C431
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3, mA,29.12,C431
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0000,C431
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2, V,.0000,C431
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C431
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0000,C431
501050_[A-01][A-07] LIN Voltage, A,.0126,C431
501060_Read SW Version, Hex,21474,C431
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3, mA,22.97,C431
55790 AI_TI_ISHUNT ADC High, Dec,265,C100
55790 AI_TI_ISHUNT ADC High, Dec,353,C100
55790 AI_TI_ISHUNT ADC High, Dec,175,C100
55790 AI_TI_ISHUNT ADC High, Dec,187,C100
55900 TI Max Current Cathode 1, V,3.070,C100
shorts,U,0,IC601
4_Contact_MCU, P/F,0,IC601
503010_PS P0 Variant Detect Combo, Hex,0,R216
503010_PS P0 Variant Detect Combo, Hex,0,R216
503010_PS P0 Variant Detect Combo, Hex,0,R216
503010_PS P0 Variant Detect Combo, Hex,0,R216
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0001,C1003
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
530030_CAL CH1 Voltage High FB, V,0,R1003
530040_CAL CH1 Voltage Meas Vf High, V,.3199,R1003
530120_CAL CH1 Voltage Low FB, V,0,R1003
530130_CAL CH1 Voltage Meas Vf Low, V,.2702,R1003
530030_CAL CH1 Voltage High FB, V,0,R1003
530040_CAL CH1 Voltage Meas Vf High, V,.3030,R1003
530120_CAL CH1 Voltage Low FB, V,0,R1003
530130_CAL CH1 Voltage Meas Vf Low, V,.2891,R1003
530030_CAL CH1 Voltage High FB, V,0,R1003
530040_CAL CH1 Voltage Meas Vf High, V,.3884,R1003
530120_CAL CH1 Voltage Low FB, V,0,R1003
530130_CAL CH1 Voltage Meas Vf Low, V,.2289,R1003
505020_OC Voltage TI_OUTAGE ON, V,.0033,D421
505060_OC Read ADC TI_FAULT, Dec,0,D421
505020_OC Voltage TI_OUTAGE ON, V,.0034,D421
505060_OC Read ADC TI_FAULT, Dec,0,D421
505112_OC Meas Voltage FRONT FOG CONTROL, V,1.461,IC101
